country	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099
Turkey																																																																																																49.5						66.3	66.4	66.9	75.9	66.1	86.4	92.3	95.7	98.5																																																																																										
Turkmenistan																																																																																																										80.9																																																																																														
Turks and Caicos Islands																																																																																																																																																																																																								
Tuvalu																																																																																																										52.7																																																																																														
Uganda																																																																																																										1.8																																																																																														
Ukraine																																																																																																										108																																																																																														
United Arab Emirates																																																																																																										96.5																																																																																														
United Kingdom																																																																																																378.3						436.2	446.1	452.5	463.8	384.3	459.3	462.9	462.4	457.4																																																																																										
United States of America																																																																																																										480.6																																																																																														
Uruguay																																																																																																										149.6																																																																																														
Uzbekistan																																																																																																										80.9																																																																																														
Vanuatu																																																																																																										25																																																																																														
Venezuela																																																																																																										90.7																																																																																														
Viet Nam																																																																																																										52.7																																																																																														
Wallis and Futuna* qpp																																																																																																																																																																																																								
United States Virgin Islands																																																																																																																																																																																																								
Yemen																																																																																																										15.4																																																																																														
Zambia																																																																																																										17																																																																																														
Zimbabwe																																																																																																										29.2																																																																																														
